P_CUSTOMER_NAME,P_FROM_DATE,P_TO_DATE,BILL_CUSTOMER_NAME,BILL_CUSTOMER_NUMBER,BUSINESS_UNIT,RECEIPT_METHOD,RECEIPT_NUMBER,RECEIPT_DATE,RECEIPT_AMOUNT,APPLIED_AMOUNT,UNAPPLIED_AMOUNT,CURRENCY,RECEIPT_STATUS_CODE
,,,"Test Customer 1 PL24",133022,PL24-MAL,"PL - CITI BANK - 2003","NEW 3 LC",31-12-2016,3000,3000,0,MYR,APP
,,,"Hdfc Bank Ltd",490132,MO29-IND,"MO29 Migration Rcpt.",7,31-03-2017,1732498,,,INR,UNAPP
,,,"KARGOCARD HOLDINGS LIMITED",150141,QC16-SIN,"QC16 Migration Rcpt. Singapore",1,30-08-2019,4108.26,,,MYR,UNAPP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,3003,09-04-2020,5000,,,INR,UNAPP
,,,"Clix Capital Services Private Limited",152814,SE26-IND,BTPL-ICICI-1112-Domestic,3060-A,21-04-2020,21600,,,INR,UNAPP
,,,"INFOCREDIT SERVICES PVT LTD",152817,SE26-IND,BTPL-ICICI-1112-Domestic,3310,08-05-2020,10800,,,INR,UNAPP
,,,"Clix Capital Services Private Limited",152814,SE26-IND,BTPL-ICICI-1112-Domestic,3769-A,04-06-2020,143,,,INR,UNAPP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,3914-A,10-06-2020,37000,,,INR,UNAPP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,4134-A,18-06-2020,106859,,,INR,UNAPP
,,,"Loantap Credit Products Pvt Ltd.",152900,SE26-IND,BTPL-ICICI-1112-Domestic,4190-A,19-06-2020,22100,,,INR,UNAPP
,,,"QB Food Trading Pte Ltd",150224,QC16-SIN,"QC16 Migration Rcpt. Singapore",2,30-06-2020,3000,,,SGD,UNAPP
,,,"IT SYSTEMS",152878,SE26-IND,BTPL-KotakMahindraBank-2184,6123,05-08-2020,1752.3,1752.3,0,INR,APP
,,,"Facebook India Online Services Pvt. Ltd",152839,SE26-IND,"BTPL-Kotak Mahindra Bank-9773",6153-A,05-08-2020,1524900,1524900,0,INR,APP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,6765,20-08-2020,98130.6,,,INR,UNAPP
,,,"Cars24 Financial Services Private Limited",152807,SE26-IND,BTPL-KotakMahindraBank-2184,6850,24-08-2020,700.92,700.92,0,INR,APP
,,,"Adhikosh Financial Advisory Pvt Ltd",152767,SE26-IND,BTPL-KotakMahindraBank-2184,6998,26-08-2020,700.92,700.92,0,INR,APP
,,,"ADANI HOUSING FINANCE PRIVATE LIMITED",152765,SE26-IND,BTPL-KotakMahindraBank-2184,7105,28-08-2020,11934,11934,0,INR,APP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,7383,01-09-2020,188446.2,,,INR,UNAPP
,,,"CARS24 SERVICES PRIVATE LIMITED",152808,SE26-IND,BTPL-KotakMahindraBank-2184,7765,08-09-2020,12744,12744,0,INR,APP
,,,"UJJIVAN SMALL FINANCE BANK LIMITED",152991,SE26-IND,BTPL-ICICI-1112-Domestic,8110,14-09-2020,154000,,,INR,UNAPP
,,,"KARGOCARD HOLDINGS LIMITED",150141,QC16-SIN,"QC16 Migration Rcpt. Singapore",3,23-09-2020,200,,,SGD,UNAPP
,,,"EQX Analytics Pvt Ltd",152976,SE26-IND,BTPL-ICICI-1112-Domestic,8864,24-09-2020,353.6,,,INR,UNAPP
,,,"EQX Analytics Pvt Ltd",152976,SE26-IND,BTPL-ICICI-1112-Domestic,8865,24-09-2020,2397.85,,,INR,UNAPP
,,,"AGGRA TECHNOLOGIES PRIVATE LIMITED",152770,SE26-IND,BTPL-ICICI-1112-Domestic,8871,24-09-2020,10000,,,INR,UNAPP
,,,"Facebook India Online Services Pvt. Ltd",152839,SE26-IND,"BTPL-Kotak Mahindra Bank-9773",9977,08-10-2020,3812250,3812250,0,INR,APP
,,,"MWYN TECH PRIVATE LIMITED",152924,SE26-IND,BTPL-ICICI-1112-Domestic,10046,09-10-2020,944,,,INR,UNAPP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,10510,15-10-2020,218049.4,,,INR,UNAPP
,,,"EQX Analytics Pvt Ltd",152976,SE26-IND,BTPL-ICICI-1112-Domestic,10512,15-10-2020,3035,,,INR,UNAPP
,,,"India Shelter Finance Corporation Limited",152873,SE26-IND,BTPL-KotakMahindraBank-2184,10744,17-10-2020,11934,11934,0,INR,APP
,,,"UJJIVAN SMALL FINANCE BANK LIMITED",152991,SE26-IND,BTPL-ICICI-1112-Domestic,10957,20-10-2020,89782,,,INR,UNAPP
,,,"Facebook India Online Services Pvt. Ltd",152839,SE26-IND,"BTPL-Kotak Mahindra Bank-9773",11475,28-10-2020,2287350,2287350,0,INR,APP
,,,"Twospuds Pte Ltd",150300,QC16-SIN,"QC16 Migration Rcpt. Singapore",4,02-11-2020,34.75,,,SGD,UNAPP
,,,"IXIAN INFORMATICS PVT LTD",152879,SE26-IND,BTPL-KotakMahindraBank-2184,12022,03-11-2020,3395,3395,0,INR,APP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,12221,05-11-2020,289819.4,,,INR,UNAPP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,12568,09-11-2020,809133.6,809133.6,0,INR,APP
,,,"MWYN TECH PRIVATE LIMITED",152924,SE26-IND,BTPL-ICICI-1112-Domestic,13994,18-11-2020,2313,,,INR,UNAPP
,,,"Loantap Credit Products Pvt Ltd.",152900,SE26-IND,BTPL-ICICI-1112-Domestic,14206,20-11-2020,11288,,,INR,UNAPP
,,,"Loantap Credit Products Pvt Ltd.",152900,SE26-IND,BTPL-ICICI-1112-Domestic,14207,20-11-2020,17992,,,INR,UNAPP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,14569,23-11-2020,10418,10418,0,INR,APP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,14570,23-11-2020,811036.35,811036.35,0,INR,APP
,,,"EQX Analytics Pvt Ltd",152976,SE26-IND,BTPL-ICICI-1112-Domestic,14970,25-11-2020,4375.8,,,INR,UNAPP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,14972,25-11-2020,375622.4,,,INR,UNAPP
,,,"UJJIVAN SMALL FINANCE BANK LIMITED",152991,SE26-IND,BTPL-ICICI-1112-Domestic,15834,30-11-2020,635212,,,INR,UNAPP
,,,"Loantap Credit Products Pvt Ltd.",152900,SE26-IND,BTPL-ICICI-1112-Domestic,18856,15-12-2020,2215,,,INR,UNAPP
,,,"Advance Printing Pte Ltd",150005,QC16-SIN,"QC16 Migration Rcpt. Singapore",5,16-12-2020,23846.2,,,SGD,UNAPP
,,,"AU SMALL FINANCE BANK LIMITED",152788,SE26-IND,BTPL-ICICI-1112-Domestic,19354,18-12-2020,3457.4,,,INR,UNAPP
,,,"HERBACEOUS RETAIL PRIVATE LIMITED",152862,SE26-IND,BTPL-KotakMahindraBank-2184,20114,22-12-2020,1413.64,1413.64,0,INR,APP
,,,"John Deere Financial India Private Limited - JDF",152886,SE26-IND,BTPL-ICICI-1112-Domestic,20325,24-12-2020,59670,,,INR,UNAPP
,,,"MWYN TECH PRIVATE LIMITED",152924,SE26-IND,BTPL-ICICI-1112-Domestic,22531,06-01-2021,3717,,,INR,UNAPP
,,,"MWYN TECH PRIVATE LIMITED",152924,SE26-IND,BTPL-ICICI-1112-Domestic,22532,06-01-2021,3061.9,,,INR,UNAPP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,22543,07-01-2021,632604.74,632604.74,0,INR,APP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,22769,08-01-2021,786375,786375,0,INR,APP
,,,"Prudential Bsn Takaful Berhad",151873,PL24-MAL,"PL24 Migration Rcpt. Malaysia",321008710066811,08-01-2021,680,,,MYR,UNAPP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,22968,09-01-2021,632603.86,632603.86,0,INR,APP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,22983,11-01-2021,686554.95,686554.95,0,INR,APP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,23788,13-01-2021,5403,,,INR,UNAPP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,23789,13-01-2021,4606,,,INR,UNAPP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,23790,13-01-2021,99914,,,INR,UNAPP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,23791,13-01-2021,7037,,,INR,UNAPP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,23792,13-01-2021,197246,,,INR,UNAPP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,23793,13-01-2021,454132.4,,,INR,UNAPP
,,,"KIERAYA FURNISHING SOLUTIONS PRIVATE LIMITED - Furlenco",152891,SE26-IND,BTPL-ICICI-1112-Domestic,24023,14-01-2021,30,,,INR,UNAPP
,,,"EQX Analytics Pvt Ltd",152976,SE26-IND,BTPL-ICICI-1112-Domestic,24178,15-01-2021,6409,,,INR,UNAPP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,25882,25-01-2021,7580,,,INR,UNAPP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,25883,25-01-2021,348375,,,INR,UNAPP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,26371,28-01-2021,469602.4,,,INR,UNAPP
,,,"EQX Analytics Pvt Ltd",152976,SE26-IND,BTPL-ICICI-1112-Domestic,26655,29-01-2021,10364.4,,,INR,UNAPP
,,,"IDFC First Bank",152867,SE26-IND,BTPL-IDFCFirstBank-4259,27185,02-02-2021,174590,174590,0,INR,APP
,,,"IDFC First Bank",152867,SE26-IND,BTPL-IDFCFirstBank-4259,27186,02-02-2021,67412,67412,0,INR,APP
,,,"MWYN TECH PRIVATE LIMITED",152924,SE26-IND,BTPL-ICICI-1112-Domestic,27882,05-02-2021,3735.98,,,INR,UNAPP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,27983,05-02-2021,549847.85,549847.85,0,INR,APP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,27984,05-02-2021,549848.73,549848.73,0,INR,APP
,,,"KIERAYA FURNISHING SOLUTIONS PRIVATE LIMITED - Furlenco",152891,SE26-IND,BTPL-ICICI-1112-Domestic,28195,08-02-2021,18,,,INR,UNAPP
,,,"UJJIVAN SMALL FINANCE BANK LIMITED",152991,SE26-IND,BTPL-ICICI-1112-Domestic,28604,10-02-2021,846099,,,INR,UNAPP
,,,"Axis Bank",152792,SE26-IND,BTPL-AXIS-3007-Domestic,29364,15-02-2021,10125,,,INR,UNAPP
,,,"IDFC First Bank",152867,SE26-IND,BTPL-IDFCFirstBank-4259,29365,16-02-2021,276250,276250,0,INR,APP
,,,"MWYN TECH PRIVATE LIMITED",152924,SE26-IND,BTPL-ICICI-1112-Domestic,30386,20-02-2021,4398.62,,,INR,UNAPP
,,,"DMI Finance Private Limited",152825,SE26-IND,BTPL-ICICI-1112-Domestic,31033,24-02-2021,415259,,,INR,UNAPP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,31458,26-02-2021,416060,,,INR,UNAPP
,,,"THE BOSTON CONSULTING GROUP PTE. LTD.",150287,QC16-SIN,"QC16 Migration Rcpt. Singapore",6,01-03-2021,388,,,SGD,UNAPP
,,,"Gokwik Commerce Solutions Private Limited",152853,SE26-IND,BTPL-ICICI-1112-Domestic,33336,08-03-2021,648,,,INR,UNAPP
,,,"IIFL FINANCE LIMITED",152868,SE26-IND,BTPL-ICICI-1112-Domestic,33366,08-03-2021,8241,,,INR,UNAPP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,33689,09-03-2021,778125,778125,0,INR,APP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,33690,09-03-2021,828750,828750,0,INR,APP
,,,"EQX Analytics Pvt Ltd",152976,SE26-IND,BTPL-ICICI-1112-Domestic,34281,12-03-2021,13668.6,,,INR,UNAPP
,,,"UJJIVAN SMALL FINANCE BANK LIMITED",152991,SE26-IND,BTPL-ICICI-1112-Domestic,34626,15-03-2021,883646,,,INR,UNAPP
,,,"Direct Asia Insurance (Singapore) Pte Ltd",150073,QC16-SIN,"QC16 Migration Rcpt. Singapore",7,16-03-2021,64564.5,83.5,64481,SGD,UNAPP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,35437,18-03-2021,349500,349500,0,INR,APP
,,,"Axis Bank",152792,SE26-IND,BTPL-AxisBank-3007,35438,18-03-2021,843026,843026,0,INR,APP
,,,"Standard Chartered Bank",490152,MO29-IND,"MO29 Migration Rcpt.",15,22-03-2021,17,,,INR,UNAPP
,,,"IDFC First Bank",152867,SE26-IND,BTPL-IDFCFirstBank-4259,36324,22-03-2021,85888,85888,0,INR,APP
,,,"EQX Analytics Pvt Ltd",152976,SE26-IND,BTPL-ICICI-1112-Domestic,36327,22-03-2021,26364.8,,,INR,UNAPP
,,,"MWYN TECH PRIVATE LIMITED",152924,SE26-IND,BTPL-ICICI-1112-Domestic,36328,22-03-2021,3804.52,,,INR,UNAPP
,,,"John Deere Financial India Private Limited - JDF",152886,SE26-IND,BTPL-ICICI-1112-Domestic,37262,26-03-2021,21216,,,INR,UNAPP
,,,"IIFL Home Finance Ltd",152869,SE26-IND,BTPL-ICICI-1112-Domestic,37295,26-03-2021,8213,,,INR,UNAPP
,,,"IIFL Home Finance Ltd",152869,SE26-IND,BTPL-ICICI-1112-Domestic,37296,26-03-2021,11245,,,INR,UNAPP
,,,"IIFL Home Finance Ltd",152869,SE26-IND,BTPL-ICICI-1112-Domestic,37297,26-03-2021,15850,,,INR,UNAPP
,,,"Razorpay Software",202083,QC12-KA,"QC MIG",00023291008231DC,31-03-2021,20,20,0,INR,APP
,,,"Razorpay Software",202083,QC12-KA,"QC MIG",00023291973401DC,31-03-2021,20,20,0,INR,APP
,,,"Green Enterprise",201062,QC12-KA,"QC MIG","01-15 Mar'21",31-03-2021,156308.57,156308.57,0,INR,APP
,,,"Shri Cane Fresh Beverages",202305,QC12-KA,"QC MIG","01-15 Mar'21",31-03-2021,34573.94,34573.94,0,INR,APP
,,,"Green Nest Fresh",201067,QC12-KA,"QC MIG","01-15 Mar'21",31-03-2021,199026.77,199026.77,0,INR,APP
,,,"MDP Food And Beverages",201609,QC12-KA,"QC MIG","01-15 Mar'21",31-03-2021,70927.62,70927.62,0,INR,APP
,,,"Mountain Trail Foods",201690,QC12-KA,"QC MIG","01-15 Mar'21",31-03-2021,26703.67,26703.67,0,INR,APP
,,,"Cheftalk Food And Hospitality Services",200520,QC12-KA,"QC MIG","01-15 Mar'21",31-03-2021,551162.07,551162.07,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",01.09.2014,31-03-2021,22533131.8,22533131.8,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",021300744GN00093,31-03-2021,264825260.56,264825260.56,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",021400517GN00145,31-03-2021,7580753.47,7580753.47,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",021500418GN00021,31-03-2021,8093344.16,8093344.16,0,INR,APP
,,,"Bharti Airtel Limited",200365,QC12-KA,"QC MIG",04-09-2017,31-03-2021,23725,23725,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",081000105GN00093,31-03-2021,3296161.26,3296161.26,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",081000118GN00073,31-03-2021,12754298.45,12754298.45,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",081000120GN00312,31-03-2021,284945239.21,284945239.21,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",081000149GN00002,31-03-2021,12554502.85,12554502.85,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",081000873GN00167,31-03-2021,15904368.53,15904368.53,0,INR,APP
,,,Channelplay,200510,QC12-KA,"QC MIG",0811OP1009766680,31-03-2021,2652860,2652860,0,INR,APP
,,,"Ao Smith",200220,QC12-KA,"QC MIG",09.09.2015,31-03-2021,22500,,,INR,UNAPP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",10,31-03-2021,5000,5000,0,INR,APP
,,,"Tieto India",202545,QC12-KA,"QC MIG",10/04/18,31-03-2021,4950,,,INR,UNAPP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",10176,31-03-2021,901863,901863,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",10177,31-03-2021,225000,225000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",10178,31-03-2021,3000,3000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",10179,31-03-2021,330000,330000,0,INR,APP
,,,"Flying Fish Ventures",200893,QC12-KA,"QC MIG",10199,31-03-2021,55,,,INR,UNAPP
,,,"Tvs Motor Company",202623,QC12-KA,"QC MIG",10305,31-03-2021,1950,,,INR,UNAPP
,,,"Nreach Online Services",201782,QC12-KA,"QC MIG",10411,31-03-2021,496,496,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",10422,31-03-2021,7000000,7000000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",10427,31-03-2021,30000,30000,0,INR,APP
,,,Infosys,201270,QC12-KA,"QC MIG",10429,31-03-2021,999,999,0,INR,APP
,,,"Angularity Analytics",200212,QC12-KA,"QC MIG",10491,31-03-2021,10,10,0,INR,APP
,,,"Godfrey Phillips India",201031,QC12-KA,"QC MIG",10543,31-03-2021,318.8,318.8,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",10550,31-03-2021,200000,200000,0,INR,APP
,,,"Chandra Trading",200506,QC12-KA,"QC MIG",1071,31-03-2021,20000,,,INR,UNAPP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",10727,31-03-2021,519215,519215,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",10728,31-03-2021,2566000,2566000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",10730,31-03-2021,206000,206000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",10731,31-03-2021,370800,370800,0,INR,APP
,,,"The Dressing Lounge",202519,QC12-KA,"QC MIG",10829,31-03-2021,14005,,,INR,UNAPP
,,,"Amazon Seller Services",200185,QC12-KA,"QC MIG",10829,31-03-2021,100000000,100000000,0,INR,APP
,,,"Essilor India",200811,QC12-KA,"QC MIG",10968,31-03-2021,15,15,0,INR,APP
,,,"Phani Kumar",201946,QC12-KA,"QC MIG",11.05.2017,31-03-2021,467650,,,INR,UNAPP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",110800026GN00216,31-03-2021,21929124.62,21929124.62,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",110900855GN00026,31-03-2021,10792131.98,10792131.98,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",110901023GN00329,31-03-2021,22389710.99,22389710.99,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",110901050GN00185,31-03-2021,228011079.6,228011079.6,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111000424GN00418,31-03-2021,23643642.08,23643642.08,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111100866GN00402,31-03-2021,23098945.41,23098945.41,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",111200750GN00270,31-03-2021,8736847.74,8736847.74,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111201152GN00135,31-03-2021,18674085.04,18674085.04,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",111201193GN00285,31-03-2021,464440366.5,464440366.5,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111300902GN00380,31-03-2021,22524092.08,22524092.08,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111400429GN00153,31-03-2021,16615844.59,16615844.59,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",111500013GN00189,31-03-2021,10709985.24,10709985.24,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111500027GN00103,31-03-2021,12967827.66,12967827.66,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",111500029GN00129,31-03-2021,284300429.4,284300429.4,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111600458GN00148,31-03-2021,16685092.87,16685092.87,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",1117,31-03-2021,1900000,1900000,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111700389GN00500,31-03-2021,21066717.17,21066717.17,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",1118,31-03-2021,16500,16500,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",111800553GN00217,31-03-2021,7947100,7947100,0,INR,APP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",111800696GN00387,31-03-2021,22169015.9,22169015.9,0,INR,APP
,,,"Amazon Seller Services",200180,QC12-KA,"QC MIG",1123,31-03-2021,1123,1123,0,INR,APP
,,,"Value For Sellers",202671,QC12-KA,"QC MIG",1123,31-03-2021,50000,,,INR,UNAPP
,,,"Acodeidea Technologies",200059,QC12-KA,"QC MIG",11273,31-03-2021,500,500,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",11455,31-03-2021,150000,150000,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",11456,31-03-2021,30000,30000,0,INR,APP
,,,"Calium Technologies",200461,QC12-KA,"QC MIG",11655,31-03-2021,30000,,,INR,UNAPP
,,,"Orient Bell",201855,QC12-KA,"QC MIG",11662,31-03-2021,5500,,,INR,UNAPP
,,,Thunderpod,202542,QC12-KA,"QC MIG",117,31-03-2021,900,900,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",11701,31-03-2021,600000,600000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",11702,31-03-2021,300000,300000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",11714,31-03-2021,179400,179400,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",11715,31-03-2021,40000,40000,0,INR,APP
,,,"Lexin India Technology",201475,QC12-KA,"QC MIG",11748,31-03-2021,4000,4000,0,INR,APP
,,,"Scripbox Advisors",202269,QC12-KA,"QC MIG",11878,31-03-2021,49,49,0,INR,APP
,,,"Essilor India",200811,QC12-KA,"QC MIG",12089,31-03-2021,470,470,0,INR,APP
,,,"Tally India",202468,QC12-KA,"QC MIG",12111,31-03-2021,7000,,,INR,UNAPP
,,,"Amazon Seller Services",200185,QC12-KA,"QC MIG",12161,31-03-2021,138000000,138000000,0,INR,APP
,,,"A R Landcraft",200019,QC12-KA,"QC MIG",12176,31-03-2021,1000,1000,0,INR,APP
,,,"My Return Solutions",201708,QC12-KA,"QC MIG",12201,31-03-2021,4500,4500,0,INR,APP
,,,"Eshan Evnets & Greetings",200807,QC12-KA,"QC MIG",123,31-03-2021,28803.5,,,INR,UNAPP
,,,"Sairam Marketing",202209,QC12-KA,"QC MIG",12342,31-03-2021,321150,,,INR,UNAPP
,,,"Kapseh Technologies",201387,QC12-KA,"QC MIG",1237,31-03-2021,510,510,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",12406,31-03-2021,164000,164000,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",1265,31-03-2021,1102818,1102818,0,INR,APP
,,,"Starwood Hotels & Resorts India",202403,QC12-KA,"QC MIG",12656,31-03-2021,29150,,,INR,UNAPP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",1268,31-03-2021,750000,750000,0,INR,APP
,,,"Ss Techsource",202394,QC12-KA,"QC MIG",12759,31-03-2021,50000,,,INR,UNAPP
,,,Itc,201332,QC12-KA,"QC MIG",12768,31-03-2021,34977,,,INR,UNAPP
,,,"Amazon Seller Services",200180,QC12-KA,"QC MIG",12769,31-03-2021,2000000,2000000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",12770,31-03-2021,92000,92000,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",12771,31-03-2021,200000,200000,0,INR,APP
,,,"Total Oil India",202580,QC12-KA,"QC MIG",12856,31-03-2021,7276,7276,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",12891,31-03-2021,250000,250000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",12893,31-03-2021,2125000,2125000,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",12894,31-03-2021,100000,100000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",129,31-03-2021,532200,532200,0,INR,APP
,,,"Kotak Mahindra Bank",201427,QC12-KA,"QC MIG",12902,31-03-2021,601.99,601.99,0,INR,APP
,,,"Ifocus Systec India",201219,QC12-KA,"QC MIG",13.7.2015,31-03-2021,22531,,,INR,UNAPP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",131,31-03-2021,52500,52500,0,INR,APP
,,,"Bargain Technologies",200330,QC12-KA,"QC MIG",13149,31-03-2021,50000,50000,0,INR,APP
,,,"Amazon Seller Services",200184,QC12-KA,"QC MIG",13270,31-03-2021,78200,78200,0,INR,APP
,,,"Amazon Seller Services",200192,QC12-KA,"QC MIG",13271,31-03-2021,169000,169000,0,INR,APP
,,,"Sproxil Brand Protection Solution",202379,QC12-KA,"QC MIG",13406,31-03-2021,142920,142920,0,INR,APP
,,,"Airbus Group India Pvt Ltd",200090,QC12-KA,"QC MIG",13572,31-03-2021,9925,,,INR,UNAPP
,,,"Nvidia Graphics",201793,QC12-KA,"QC MIG",1377,31-03-2021,3080,,,INR,UNAPP
,,,"Amazon Pay (India)",200148,QC12-KA,"QC MIG",13777,31-03-2021,143294763,143294763,0,INR,APP
,,,"Foxbox Retail",200904,QC12-KA,"QC MIG",13784,31-03-2021,5000,,,INR,UNAPP
,,,"Amazon Seller Services",200194,QC12-KA,"QC MIG",13803,31-03-2021,138766.36,138766.36,0,INR,APP
,,,"Amazon Seller Services",200181,QC12-KA,"QC MIG",13850,31-03-2021,10000000,10000000,0,INR,APP
,,,"United Spirits",202641,QC12-KA,"QC MIG",13979,31-03-2021,544700,,,INR,UNAPP
,,,Kpmg,201436,QC12-KA,"QC MIG",14-15/Mar/JV0693,31-03-2021,31406,,,INR,UNAPP
,,,"Amazon Seller Services",200180,QC12-KA,"QC MIG",14-15/Mar/JV0693,31-03-2021,1751,1751,0,INR,APP
